DateBurn,BurnName,Lat,Long,CountyName,InChangeOfName,AgencyName,AcresBurnUnit,AcresBurnPercent,FuelType,MoistureCondition,Method,,,CrewSize,FireComplexity,FuelModel,RecentBurnDate,LandType
1/21/2015,Piney Camp Ground,36.486,-88.038,Trigg,Bill Ryan,USFS,169,100,Litter - Moderate,10,Hand,,,8,Low,16,2/17/2010,
4/1/2019,Spengler,36.508917,-88.112139,Calloway,Wes McFaddin,KDFWR,31,90,Shrub - Light,Unknown,Hand,,,8,Low,6,3/11/2010,
3/13/2014,Roberts,36.51558333,-88.68852778,Graves,Wes McFaddin,KDFWR,151,70,Grass - Moderate,Unknown,Hand,,,12,Moderate,31,3/3/2011,
3/13/2014,Morris,36.51916667,-88.63611111,Graves,Wes McFaddin,KDFWR,50,95,Grass - Heavy,Unknown,Hand,,,9,Low,6,8/14/2008,
3/13/2014,Morris,36.51916667,-88.63611111,Graves,Wes McFaddin,KDFWR,50,95,Grass - Heavy,Unknown,Hand,,,6,Low,11,9/4/2010,
3/13/2014,Kelly,36.53305556,-88.64055556,Graves,Wes McFaddin,KDFWR,15,90,Grass - Light,Unknown,Hand,,,6,Low,3,8/23/2012,
4/1/2019,Thorton,36.61627,-88.25874,Calloway,Wes McFaddin,KDFWR,35,100,Grass - Heavy,Unknown,Hand,,,6,Low,11,4/4/2011,
4/23/2015,Cemetery Ridge,36.64,-87.94,Trigg,Dennis Wilson,USFS,2731,70,Litter - Moderate,11,Aerial,,,12,Low,12,3/4/2011,
4/22/2019,Jeremy Waters,36.655182,-84.395609,McCreary,Chris Mason,KDFWR,19,95,Litter - Moderate,Unknown,Hand,,,6,Low,5,4/12/2011,
4/2/2019,Sugar Creek,36.67544,-88.17225,Calloway,Wes McFaddin,KDFWR,10,80,Litter - Light,Unknown,Hand,,,10,Low,5,3/2/2011,
4/1/2019,Derting Property,36.6799,-88.2115,Calloway,Wes McFaddin,KDFWR,19.5,100,Grass - Heavy,Unknown,Hand,,,7,Low,3,4/1/2011,
3/9/2016,Indian Knob / Gilreath,36.7061,-84.4142,McCreary,Mike Tapley,USFS,2620,65,Litter - Moderate,8,Aerial,,,5,Low,7,3/5/2012,
4/2/2019,Wilkins,36.70994,-88.70994,Graves,Wes McFaddin,KDFWR,100,100,Grass - Moderate,Unknown,Hand,,,5,Low,7,3/6/2012,
3/24/2015,Prewitt,36.71,-84.39,McCreary,Alison Coons,USFS,232,85,Litter - Moderate,9,Aerial,,,7,Low,7,3/6/2012,
3/20/2014,Marsh Creek,36.71972,-84.366,McCreary,Alison Coons,USFS,437,95,Litter - Moderate,14,Hand,,,13,Low,4,3/20/2012,
3/8/2016,Duck Run,36.727699,-84.34435,McCreary,Mike Tapley,USFS,1840,75,Litter - Moderate,8,Aerial,,,15,Low,4,3/6/2012,
4/1/2014,Shop Branch,36.75,-84.3083,McCreary,Dwayne Wright,USFS,880,90,Litter - Moderate,10,Aerial,,,13,Moderate,31,1/6/2012,
3/7/2016,Alum,36.7523754,-84.51955,McCreary,Mike Tapley,USFS,882,70,Litter - Moderate,10,Aerial,,,0,Moderate,17,8/14/2012,
3/18/2015,Crow Creek,36.76,-84.32,Whitley,Leif Meadows,USFS,1596,70,Litter - Moderate,9,Aerial,,,6,Moderate,3,4/7/2010,
3/20/2014,Mohler,36.76472222,-88.34194444,Marshall,Wes McFaddin,KDFWR,30,85,Grass - Heavy,Unknown,Hand,,,6,Moderate,3,4/7/2010,
11/14/2014,Golden Pond Visior Center,36.77,-88.06,Trigg,Andy Pascarella,USFS,31,85,Litter - Moderate,12,Hand,,,6,Moderate,3,4/6/2010,
11/14/2014,Golden Pond Visitor Center,36.77,-88.06,Trigg,Andy Pascarella,USFS,31,85,Litter - Moderate,12,Hand,,,6,Moderate,3,2/6/2012,
1/28/2015,Gator Pit,36.77,-88.08,Trigg,Bill Ryan,USFS,40,100,Shrub - Light,10,Hand,,,6,Low,6,3/15/2013,
3/9/2018,Barren Fork/Flat Rock,36.7815,-84.4567,McCreary,M.Tapley,USFS,1439,100,Litter - Moderate,11,Aerial,,,10,Low,1,2/28/2011,
4/1/2014,Brushy Creek,36.7848,-84.3713,McCreary,Alison Coons,USFS,1225,90,Litter - Moderate,10,Aerial,,,Crew,Low,3,3/6/2012,Private
2/27/2018,Beulah Heights,36.7883,-84.43464,McCreary,Alison Coons,USFS,780,100,Litter - Moderate,10,Aerial,,,10,Low,3,3/6/2012,Private
3/3/2018,Chestnut Flats,36.7912,-84.41005,McCreary,Alison Coons,USFS,345,100,Litter - Moderate,10,Aerial,,,10,Low,2,1/14/2014,Public
3/5/2017,Cotton Patch,36.798982,-84.5532,McCreary,Stearns RD,USFS,761,70,Litter - Moderate,6,Aerial,,,6,Low,9,3/15/2011,Public
4/10/2013,None,36.81388889,-84.53305556,McCreary,Coons,USFS,1370,80,Litter - Moderate,30,Aerial,,,8,Low,13,10/15/2011,Public
3/24/2015,Slick Shoals/Buzzard,36.82,-84.32,Whitley,Leif Meadows,USFS,4030,60,Litter - Moderate,10,Aerial,,,6,Low,7,,Private
1/30/2015,Energy Lake,36.855,-88.02,Trigg,Bill Ryan,USFS,43,100,Litter - Moderate,8,Hand,,,6,Low,7,,Private
4/23/2014,BRSP,36.86,-86.068,Barren,Wayne Tamminga,KDFWR,7.9,100,Grass - Moderate,12,Hand,,,12,Low,8,,Public
3/3/2018,Big Dog,36.86448,-84.282,Whitley,Joel Basch,USFS,2067,100,Litter - Moderate,10,Aerial,,,12,Low,8,,Public
4/1/2019,David Dell'Aquila,36.870364,-85.442292,Cumberland,Chris Mason,KDFWR,8,90,Grass - Moderate,Unknown,Hand,,,6,Low,5,2/14/2013,Public
1/26/2018,Big Swag,36.8722,-84.42777,Whitley,M. Tapley,USFS,5,100,Litter - Moderate,9,Hand,,,10,Moderate,31,,Public
2/5/2015,Big Swag,36.873,-84.423,McCreary,Mike Tapley,USFS,5,100,Grass - Moderate,8,Hand,,,6,Low,5,2/11/2013,Public
2/29/2016,Big Swag,36.8731,-84.4244,McCreary,Michael Tapley,USFS,5,95,Grass - Moderate,8,Hand,,,12,Low,3,,Public
4/1/2019,David Dell'Aquila,36.87322,-8544045,Cumberland,Chris Mason,KDFWR,141,85,Litter - Moderate,Unknown,Hand,,,20,,31,3/31/2010,Public
3/18/2015,Shelton/Copperas,36.88,-84.54,McCreary,Alison Coons,USFS,1088,70,Litter - Moderate,10,Aerial,,,15,Moderate,31,,Public
3/10/2014,Big Swag,36.8805,-84.4277,McCreary,Alison Coons,USFS,5,100,Grass - Moderate,12,Hand,,,10,Moderate,6,3/9/2013,Public
3/4/2018,Curd Garden South,36.88523,-84.3065,Whitley,Joel Basch,USFS,483,100,Litter - Moderate,9,Aerial,,,4,Low,6,3/9/2013,Public
3/9/2018,Curd Garden South 7,36.88523,-84.3065,Whitley,J. Basch,USFS,226,100,Litter - Light,10,Aerial,,,12,Moderate,31,11/12/2009,Public
3/9/2018,Curd Garden South 8,36.88523,-84.3065,Whitley,Joel Basch,USFS,882,100,Litter - Moderate,9,Aerial,,,12,Low,4,,Public
4/23/2014,Army Corps of Engineers Dam,36.891,-86.125,Barren,Wayne Tamminga,KDFWR,30.7,100,Grass - Heavy,10,Hand,,,12,Low,5,,Public
2/20/2018,North Curd # 4,36.89551,-84.2887,Whitley,Leif Meadows,USFS,418,100,Litter - Moderate,9,Aerial,,,12,Low,5,,Public
3/15/2018,"North Curd 3,6",36.89551,-84.2885,Whitley,Joel Basch,USFS,716,100,Litter - Moderate,11,Aerial,,,12,Low,5,,Public
11/20/2013,Liz Worley,36.9005,-84.50416,McCreary,Dwayne Wright,USFS,301,85,Litter - Moderate,10,Hand,,,12,Low,5,,Public
1/30/2015,Nature Station,36.90263889,-88.03941667,Lyon,Bill Ryan,USFS,23,100,Grass - Moderate,8,Hand,,,12,Low,5,,Public
3/23/2018,Fishing Creek,36.922,-84.29765,Whitley,Leif Meadows,USFS,1153,100,Litter - Moderate,12,Aerial,,,12,Low,5,,Public
11/14/2013,None,36.94166667,-84.25833333,Laurel,Leif Meadows,USFS,326,80,Litter - Light,Unknown,Hand,,,9,Moderate,6,4/2/2014,Private
2/10/2015,Hillman Ferry,36.95,-88.18,Lyon,Dennis Wilson,USFS,148,100,Litter - Moderate,10,Hand,,,5,Low,6,,Private
3/13/2014,Tim Finn,36.959939,-84.98469,Russell,Chris Mason,KDFWR,3,100,Grass - Heavy,Unknown,Hand,,,5,Low,6,3/27/2015,Private
3/5/2017,Auger,36.966278,-84.234121,Laurel,London Ranger District,USFS,1887,70,Litter - Moderate,6,Aerial,,,5,Low,6,,Private
4/9/2014,Odaniel,36.968,-86.334,Warren,Jared Handley,KDFWR,57.8,75,Grass - Light,39,Hand,,,9,Moderate,6,4/9/2014,Private
4/2/2014,Kindred south,36.96825,-85.705861,Metcalfe,Jared Hadley,KDFWR,41.6,95,Grass - Moderate,44,Hand,,,9,Moderate,1,4/9/2014,Private
3/7/2016,Gulf Ridge,36.979368,-84.35728,Pulaski,CorDell Taylor/Bill Ryan,USFS,344,75,Litter - Moderate,10,Aerial,,,9,Moderate,4,4/16/2014,Private
3/19/2014,Cash,36.98584,-88.82012,McCracken,Wes McFaddin,KDFWR,24,95,Grass - Moderate,Unknown,Hand,,,7,Low,10,3/6/2007,Public
3/21/2018,Cash,36.98584,-88.82012,McCracken,Wes McFaddin,KDFWR,18,95,Grass - Heavy,Unknown,Hand,,,6,Low,5,3/11/2013,Public
4/10/2019,Cash Property,36.98584,-88.82012,McCracken,Wes McFaddin,KDFWR,10,100,Grass - Moderate,Unknown,Hand,,,6,Low,27,3/11/2013,Public
3/23/2018,Bear Wallow,36.986,-84.39184,Pulaski,Joel Basch,USFS,563,100,Litter - Moderate,12,Aerial,,,14,Low,2,,Public
1/5/2014,Shepherd Farm,37.011805,-87.507583,Christian,Keith Shepherd,Private Landowner,12,100,Grass - Moderate,Unknown,Hand,,,7,Low,5,,Public
4/9/2014,Haydon,37.015,-86.616,Warren,Jared Handley,KDFWR,42.2,100,Grass - Heavy,40,Hand,,,9,Low,12,3/22/2007,Public
4/9/2014,Haydon,37.015,-86.615,Warren,Bill Lynch,KDFWR,42.2,100,Grass - Heavy,10,Hand,,,8,Low,8,3/7/2006,Public
4/7/2014,Vern Uchtman,37.01639,-85.43778,Green,Chris Mason,KDFWR,28.3,80,Grass - Heavy,Unknown,Hand,,,8,Low,1,,Private
3/18/2019,Harold Turner,37.023073,-84.1093307,Laurel,Merle Hacker/Randall Alcorn,KDFWR,9.5,85,Grass - Moderate,0,Hand,,,6,Moderate,1,,Private
3/9/2016,Jim Spoles,37.02794,-85.23695,Adair,Chris Mason,KDFWR,29.6,95,Grass - Heavy,Unknown,Hand,,,8,Moderate,1,,Private
4/2/2014,Jim Sproles,37.0283,-85.2371,Adair,Chris Mason,KDFWR,28.3,100,Grass - Moderate,Unknown,Hand,,,8,Moderate,1,,Private
3/27/2015,Jim Sproles,37.02830556,-85.23708333,Adair,Chris Mason,KDFWR,2.6,75,Grass - Heavy,Unknown,Hand,,,8,Moderate,1,,Private
3/27/2015,Jim Sproles,37.02830556,-85.23708333,Adair,Chris Mason,KDFWR,3.4,75,Grass - Heavy,Unknown,Hand,,,8,Low,1,,Private
3/27/2015,Jim Sproles,37.02830556,-85.23708333,Adair,Chris Mason,KDFWR,2.5,75,Grass - Heavy,Unknown,Hand,,,7,Moderate,12,3/17/2010,Private
3/27/2015,Jim Sproles,37.02830556,-85.23708333,Adair,Chris Mason,KDFWR,2.5,75,Grass - Heavy,Unknown,Hand,,,8,Moderate,11,3/10/2009,Private
3/27/2015,Jim Sproles,37.02830556,-85.23708333,Adair,Chris Mason,KDFWR,9.9,75,Grass - Heavy,Unknown,Hand,,,6,Low,11,3/16/2011,Private
3/8/2018,Jim Sproles,37.0283056,-85.2370833,Adair,Chris Mason,KDFWR,33.6,95,Grass - Moderate,Unknown,Hand,,,6,Low,11,3/16/2011,Private
3/9/2017,Jim Sproles Homeplace,37.03266,-85.23362,Adair,Chris Mason,KDFWR,23,90,Grass - Moderate,Unknown,Hand,,,8,Moderate,3,10/16/2012,Private
3/29/2017,Jim Sproles - Three Fingers Farm,37.04285,-85.34297,Adair,Chris Mason,KDFWR,7.5,90,Grass - Moderate,Unknown,Hand,,,7,Low,6,4/24/2014,Private
4/9/2019,Everett Burn,37.044278,-88.808222,McCracken,Wes McFaddin,KDFWR,5,100,Grass - Heavy,Unknown,Hand,,,7,Low,1,,Private
3/13/2014,Rich Jefferies,37.05364,-84.96561,Russell,Chris Mason,KDFWR,7,95,Grass - Heavy,Unknown,Hand,,,7,Low,10,,Private
3/13/2014,Rich Jefferies,37.05364,-84.96561,Russell,Chris Mason,KDFWR,7,95,Grass - Heavy,Unknown,Hand,,,7,Low,10,,Private
11/25/2015,Cold Hill Research Plots,37.055688,-84.22939,Laurel,London Ranger District,USFS,303,90,Litter - Moderate,9,Hand,,,7,Low,10,,Private
3/20/2014,Terry Partin,37.05994,-85.37447,Adair,Chris Mason,KDFWR,195.3,100,Grass - Heavy,Unknown,Hand,,,7,Low,10,,Private
3/30/2015,Terry Partin,37.05994,-85.37449,Adair,Chris Mason,KDFWR,233,95,Grass - Heavy,Unknown,Hand,,,12,Low,1,,Private
3/29/2017,Terry Partin,37.05994,-85.37447,Adair,Chris Mason,KDFWR,104.9,90,Grass - Heavy,Unknown,Hand,,,6,Low,10,,Private
3/30/2017,Terry Partin,37.05994,-85.37447,Adair,Chris Mason,KDFWR,127.7,90,Grass - Heavy,Unknown,Hand,,,6,Low,10,,Private
4/5/2018,Terry Partin,37.05994,-85.37447,Adair,Chris Mason,KDFWR,232,70,Grass - Moderate,Unknown,Hand,,,6,Low,10,,Private
3/17/2016,Terry Partin,37.06109,-85.37911,Adair,Chris Mason,KDFWR,235,90,Grass - Heavy,Unknown,Hand,,,6,Low,1,,Private
3/8/2016,Middle Fork,37.064797,-84.229097,Pulaski,Chris Owens/ Bill Ryan,USFS,1664,75,Litter - Moderate,8,Aerial,,,6,Low,10,,Private
4/15/2014,Strube Farm,37.0751,-87.2361,Muhlenberg,Thomas Young,KDFWR,16,90,Grass - Moderate,Unknown,Hand,,,5,Low,1,,Private
5/24/2014,Strube Farm,37.0751,-87.2361,Muhlenberg,Tim Strube,Private Landowner,25,100,Grass - Moderate,Unknown,Hand,,,2,Low,6,3/14/2013,Private
3/18/2019,Randall Bentley,37.08054361,-83.99029167,Laurel,Merle Hacker/Randall Alcorn,KDFWR,10.5,80,Grass - Moderate,0,Hand,,,3,Low,9,,Private
4/16/2014,Newberry,37.096,-85.772,Barren,Jared Handley,KDFWR,100,95,Grass - Moderate,36,Hand,,,1,Low,1,3/16/2013,Private
3/15/2016,Ken Wilkerson,37.09933,-85.2184,Adair,Chris Mason,KDFWR,2.2,75,Grass - Moderate,Unknown,Hand,,,1,Low,1,2/16/2013,Private
3/7/2019,"Rockcastle River WMA, Unit Seven",37.1007,-84.3329,Pulaski,Mike Strunk,KDFWR,10.3,95,Grass - Moderate,Unknown,Hand,,,5,Low,8,3/13/2013,Private
3/7/2019,"Rockcastle River WMA, Unit Six",37.1015,-84.3353,Pulaski,Mike Strunk,KDFWR,3,95,Grass - Moderate,Unknown,Hand,,,5,Low,8,3/21/2014,Private
3/7/2019,"Rockcastle River WMA, Unit Three",37.1163,-84.3397,Pulaski,Mike Strunk,KDFWR,15,75,Grass - Moderate,Unknown,Hand,,,5,Low,8,3/13/2013,Private
3/7/2019,"Rockcastle River WMA, Unit Two",37.1163,-84.3462,Pulaski,Mike Strunk,KDFWR,23.6,75,Grass - Heavy,Unknown,Hand,,,6,Low,5,,Private
3/7/2019,"Rockcastle River WMA, Unit One",37.1169,-84.351,Pulaski,Mike Strunk,KDFWR,40,70,Grass - Moderate,Unknown,Hand,,,5,Low,8,4/3/2013,Private
4/10/2019,"Rockcastle River WMA, Barn Woodland",37.117,-84.333,Pulaski,"Brian Gray, Apprentice Chris Scott",KDFWR,60,100,Litter - Moderate,Unknown,Hand,,,5,,8,4/2/2014,Private
4/10/2019,"Rockcastle River WMA, Iron Gate Woodland",37.119,-84.351,Pulaski,"Brian Gray, Apprentice Chris Scott",KDFWR,10.5,95,Litter - Moderate,Unknown,Hand,,,5,Low,6,3/15/2014,Private
3/16/2017,riddle,37.1257,-87.1801,Muhlenberg,thomas young,KDFWR,60,100,Grass - Moderate,Unknown,Hand,,,5,Low,6,4/13/2012,Private
3/11/2014,Billy Beard,37.1415,-85.59744,Green,Chris Mason,KDFWR,61.6,95,Grass - Moderate,Unknown,Hand,,,6,Low,7,5/3/2013,Private
3/2/2017,"GRWMA, Tailwaters",37.1439,-85.3444,Taylor,Brian Gray,KDFWR,4.5,95,Grass - Moderate,Unknown,Hand,,,6,Low,8,3/19/2014,Private
9/24/2015,Vern Uchtman,37.14972,-85.43778,Green,Chris Mason,KDFWR,10,85,Grass - Heavy,Unknown,Hand,,,6,Low,7,,Private
9/24/2015,Vern Uchtman Unit 1,37.14972,-85.43778,Green,Chris Mason,KDFWR,6.7,85,Grass - Heavy,Unknown,Hand,,,6,Low,7,,Private
9/24/2015,Vern Uchtman Unit 2,37.14972,-85.43778,Green,Chris Mason,KDFWR,1.4,85,Grass - Heavy,Unknown,Hand,,,6,Low,8,3/21/2012,Private
9/24/2015,Vern Uchtman Unit 3,37.14972,-85.43778,Green,Chris Mason,KDFWR,2.3,85,Grass - Heavy,Unknown,Hand,,,6,Low,7,4/2/2013,Private
9/24/2015,Vern Uchtman Unit 4,37.14972,-85.43778,Green,Chris Mason,KDFWR,2.8,85,Grass - Heavy,Unknown,Hand,,,5,Low,6,3/26/2012,Private
9/24/2015,Vern Uchtman Unit 5,37.14972,-85.43778,Green,Chris Mason,KDFWR,3.3,85,Grass - Heavy,Unknown,Hand,,,6,Low,7,,Private
9/24/2015,Vern Uchtman Unit 7,37.14972,-85.43778,Green,Chris Mason,KDFWR,1.8,85,Grass - Heavy,Unknown,Hand,,,3,Low,1,,Private
3/17/2015,William Baker,37.160472,-85.39472,Adair,Chris Mason,KDFWR,33,85,Grass - Moderate,Unknown,Hand,,,6,Low,1,,Private
3/28/2016,Christiane Monin,37.16049,-85.645,Green,Chris Mason,KDFWR,15.4,95,Grass - Heavy,Unknown,Hand,,,5,Low,6,3/15/2011,Public
3/11/2014,Christiane Monin,37.16289,-85.63853,Green,Chris Mason,KDFWR,46.6,100,Grass - Heavy,Unknown,Hand,,,5,Low,6,3/12/2011,Public
3/18/2016,Greg Mooney,37.16296,-85.3597,Adair,Chris Mason,KDFWR,77,75,Grass - Moderate,Unknown,Hand,,,5,Low,6,3/25/2010,Public
3/13/2014,R. F. Tarter WMA,37.164,-85.072,Adair,Brian Gray,KDFWR,25,95,Grass - Moderate,Unknown,Hand,,,15,Moderate,3,4/15/2013,Public
3/29/2016,R.F.Tarter WMA,37.16439,-85.07119,Adair,Brian Gray,KDFWR,12.8,95,Grass - Moderate,Unknown,Hand,,,8,Moderate,3,4/15/2013,Public
3/23/2018,R. F. Tarter WMA,37.16439,-85.07119,Adair,Brian Gray,KDFWR,16.1,95,Grass - Moderate,Unknown,Hand,,,6,Moderate,3,4/15/2013,Public
4/12/2014,Greg Mooney,37.16472,-85.36416,Adair,Greg Mooney,Private Landowner,77,95,Grass - Moderate,Unknown,Hand,,,6,Low,3,3/21/2012,Public
3/18/2015,Greg Mooney,37.16472,-85.36417,Adair,Chris Mason,KDFWR,77,90,Grass - Moderate,Unknown,Hand,,,6,Low,3,8/16/2011,Public
3/25/2015,Robert Wiggins,37.169298,-88.234036,Livingston,Philip Sharp,KDFWR,9.4,75,Grass - Heavy,Unknown,Hand,,,8,Low,10,,Public
3/25/2015,Hazel Maupin,37.171551,-88.209177,Livingston,Philip Sharp,KDFWR,104.4,75,Grass - Heavy,Unknown,Hand,,,3,Low,1,,Private
3/8/2016,GRWMA-Snake Creek,37.17446,-85.23159,Adair,Brian Gray,KDFWR,37.3,90,Grass - Moderate,Unknown,Hand,,,3,Low,1,,Private
3/8/2017,"GRWMA, Snake Creek`",37.17446,-85.23159,Adair,Brian Gray,KDFWR,9.9,95,Grass - Moderate,Unknown,Hand,,,2,Low,1,,Private
4/2/2014,Bettye Wilcoxson,37.17519,-85.532,Green,Chris Mason,KDFWR,37.3,100,Grass - Heavy,Unknown,Hand,,,2,Low,1,,Private
3/15/2013,Bill Matney,37.17519444,-85.53263889,Green,Chris Mason,KDFWR,46.8,95,Grass - Moderate,Unknown,Hand,,,1,Low,1,,Private
4/4/2017,Gayle Smith,37.1811,-88.2488,Livingston,Philip Sharp,KDFWR,37.1,70,Grass - Heavy,Unknown,Hand,,,1,Low,1,,Private
3/31/2014,Davis Bend,37.18288,-85.43186,Hart,Jeff Sole,TNC,60,85,Grass - Light,8,Hand,,,3,Low,1,,Private
3/31/2014,Davis Bend,37.18288,-85.43186,Hart,Jeff Sole,TNC,60,85,Grass - Light,8,Hand,,,2,Low,1,3/7/2012,Private
4/4/2019,"Ping-Sinking Valley WMA, Unit Two",37.1862,-84.3974,Pulaski,"Mike Strunk, Apprentice Chris Scott",KDFWR,9,90,Grass - Heavy,Unknown,Hand,,,10,Low,1,3/8/2012,Private
3/28/2019,Ben Smith,37.18636,-86.36589,Breckinridge,Jared B. Handley,KDFWR,45,100,Grass - Moderate,Unknown,Hand,,,1,Low,1,3/7/2011,Private
3/28/2019,Michael Campbell,37.18636,-86.48422,Butler,Jared B. Handley,KDFWR,30,100,Grass - Moderate,Unknown,Hand,,,2,Low,1,,Private
4/2/2019,"GRWMA, Rosa Knifley",37.188,-85.199,Adair,Brian Gray,KDFWR,10.7,80,Grass - Moderate,Unknown,Hand,,,6,Low,1,,Private
3/9/2017,"GRWAM, Little Cake",37.1885,-85.199,Adair,Brian Gray,KDFWR,11.3,80,Grass - Light,Unknown,Hand,,,3,Low,1,,Private
3/7/2016,GRWMA-Rosa Knifley,37.18852,-85.19895,Adair,Brian Gray,KDFWR,11.2,90,Grass - Moderate,Unknown,Hand,,,9,Low,10,,Public
4/2/2019,"GRWMA, Little Cake",37.189,-85.199,Adair,Brian Gray,KDFWR,10,95,Grass - Moderate,Unknown,Hand,,,Crew,Low,2,2/15/2013,Private
3/20/2017,Jeff Shuffett,37.19069,-85.4048,Green,Chris Mason,KDFWR,89,85,Grass - Moderate,Unknown,Hand,,,8,Moderate,12,3/1/2013,Private
3/9/2018,Jeff Shuffett,37.19103,-85.40472,Green,Chris Mason,KDFWR,34,95,Grass - Moderate,Unknown,Hand,,,7,Moderate,17,3/15/2012,Public
